"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Analytical method of operational planning applying SERVQUAL for the reduction of non-compliant services in environmental sanitation companies [Método analítico de planificación operativa aplicando Servqual para la reducción de servicios no conformes en empresas de Saneamiento Ambiental]","Vergara-Gonzalez DJ; Villar-Ventura LD; Cano M; Raymundo C; Dominguez F","2020-01-01","-","Y","Publicaciones","Conferencia Publicada","-","Cisci 2020 - Decima Novena Conferencia Iberoamericana En Sistemas, Cibernetica E Informatica, Decimo Septimo Simposium Iberoamericano En Educacion, Cibernetica E Informatica - Memorias","-","-","-","-","-","Vergara-Gonzalez DJ; Villar-Ventura LD; Cano M; Raymundo C; Dominguez F (2020). Analytical method of operational planning applying SERVQUAL for the reduction of non-compliant services in environmental sanitation companies [Método analítico de planificación operativa aplicando Servqual para la reducción de servicios no conformes en empresas de Saneamiento Ambiental]. : International Institute of Informatics and Systemics, IIIS","2-s2.0-85096668248 (Scopus)"
"Commercial management model based on the PHVA methodology to improve the prospecting of potential clients in SMEs that provide maintenance services to the construction sector [Modelo de gestión comercial basado en la metodología PHVA para mejorar la prospección de clientes potenciales en PYMES proveedoras de servicios de mantenimiento al sector construcción]","Cancino-Chinchilla CA; Cardenas-De-La-Cruz BE; Perez MS; Raymundo C; Dominguez F","2020-01-01","-","Y","Publicaciones","Conferencia Publicada","-","Cisci 2020 - Decima Novena Conferencia Iberoamericana En Sistemas, Cibernetica E Informatica, Decimo Septimo Simposium Iberoamericano En Educacion, Cibernetica E Informatica - Memorias","-","-","-","-","-","Cancino-Chinchilla CA; Cardenas-De-La-Cruz BE; Perez MS; Raymundo C; Dominguez F (2020). Commercial management model based on the PHVA methodology to improve the prospecting of potential clients in SMEs that provide maintenance services to the construction sector [Modelo de gestión comercial basado en la metodología PHVA para mejorar la prospección de clientes potenciales en PYMES proveedoras de servicios de mantenimiento al sector construcción]. : International Institute of Informatics and Systemics, IIIS","2-s2.0-85096678271 (Scopus)"
"Lean Logistics supply planning model under the ISO 22000 approach for the reduction of operational variability in MSEs in the food sector [Modelo Lean Logistics de planificación de abastecimiento bajo el enfoque del ISO 22000 para la reducción de la variabilidad operativa en MYPES del sector alimenticio]","Del-Castillo-Monroy CX; Caldas-Rivera LN; Maradiegue F; Raymundo C; Dominguez F","2020-01-01","-","Y","Publicaciones","Conferencia Publicada","-","Cisci 2020 - Decima Novena Conferencia Iberoamericana En Sistemas, Cibernetica E Informatica, Decimo Septimo Simposium Iberoamericano En Educacion, Cibernetica E Informatica - Memorias","-","-","-","-","-","Del-Castillo-Monroy CX; Caldas-Rivera LN; Maradiegue F; Raymundo C; Dominguez F (2020). Lean Logistics supply planning model under the ISO 22000 approach for the reduction of operational variability in MSEs in the food sector [Modelo Lean Logistics de planificación de abastecimiento bajo el enfoque del ISO 22000 para la reducción de la variabilidad operativa en MYPES del sector alimenticio]. : International Institute of Informatics and Systemics, IIIS","2-s2.0-85096714919 (Scopus)"
"Waste Elimination Model Based on Lean Manufacturing and Lean Maintenance to Increase Efficiency in the Manufacturing Industry","Aucasime-Gonzales P; Tremolada-Cruz S; Chavez-Soriano P; Dominguez F; Raymundo C","2020-01-01","10.1088/1757-899X/999/1/012013","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Aucasime-Gonzales P; Tremolada-Cruz S; Chavez-Soriano P; Dominguez F; Raymundo C (2020). Waste Elimination Model Based on Lean Manufacturing and Lean Maintenance to Increase Efficiency in the Manufacturing Industry. : IOP Publishing Ltd","3116538423 (MAG);2-s2.0-85098621014 (Scopus);W3116538423 (OpenAlex)"
"Waste Reduction with Lean Manufacturing Model in an Alpaca Wool Workshop","Cristobal J; Quispe G; Dominguez F; Zapata G; Raymundo C","2020-01-01","10.1088/1757-899X/999/1/012014","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Cristobal J; Quispe G; Dominguez F; Zapata G; Raymundo C (2020). Waste Reduction with Lean Manufacturing Model in an Alpaca Wool Workshop. : IOP Publishing Ltd","3117664903 (MAG);2-s2.0-85098639201 (Scopus);W3117664903 (OpenAlex)"
"TPM Maintenance Management Model Focused on Reliability that Enables the Increase of the Availability of Heavy Equipment in the Construction Sector","Palomino-Valles A; Tokumori-Wong M; Castro-Rangel P; Raymundo-Ibañez C; Dominguez F","2020-01-01","10.1088/1757-899X/796/1/012008","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Palomino-Valles A; Tokumori-Wong M; Castro-Rangel P; Raymundo-Ibañez C; Dominguez F (2020). TPM Maintenance Management Model Focused on Reliability that Enables the Increase of the Availability of Heavy Equipment in the Construction Sector. : Institute of Physics Publishing","3016005418 (MAG);2-s2.0-85083153647 (Scopus);W3016005418 (OpenAlex)"
"Lean Manufacturing Production Management Model using the Johnson Method Approach to Reduce Delivery Delays for Printing Production Lines in the Digital Graphic Design Industry","Gomero-Campos A; Mejia-Huayhua R; Leon-Chavarri C; Raymundo-Ibañez C; Dominguez F","2020-01-01","10.1088/1757-899X/796/1/012002","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Gomero-Campos A; Mejia-Huayhua R; Leon-Chavarri C; Raymundo-Ibañez C; Dominguez F (2020). Lean Manufacturing Production Management Model using the Johnson Method Approach to Reduce Delivery Delays for Printing Production Lines in the Digital Graphic Design Industry. : Institute of Physics Publishing","3016189142 (MAG);2-s2.0-85083177915 (Scopus);W3016189142 (OpenAlex)"
"Lean production management model under the change management approach to reduce order fulfillment times for Peruvian textile SMEs","Durand-Sotelo L; Monzon-Moreno M; Chavez-Soriano P; Raymundo-Ibañez C; Dominguez F","2020-01-01","10.1088/1757-899X/796/1/012023","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Durand-Sotelo L; Monzon-Moreno M; Chavez-Soriano P; Raymundo-Ibañez C; Dominguez F (2020). Lean production management model under the change management approach to reduce order fulfillment times for Peruvian textile SMEs. : Institute of Physics Publishing","3015423441 (MAG);2-s2.0-85083185590 (Scopus);W3015423441 (OpenAlex)"
"SCOR Model for a Dual-Channel Supply Chain using Drop Shipping to Reduce Overstock in Small- and Medium-Sized Retail Enterprises","Francia-Arias G; Marín-Vílchez J; Macassi-Jauregui I; Raymundo-Ibañez C; Dominguez F","2020-01-01","10.1088/1757-899X/796/1/012010","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Francia-Arias G; Marín-Vílchez J; Macassi-Jauregui I; Raymundo-Ibañez C; Dominguez F (2020). SCOR Model for a Dual-Channel Supply Chain using Drop Shipping to Reduce Overstock in Small- and Medium-Sized Retail Enterprises. : Institute of Physics Publishing","3015868884 (MAG);2-s2.0-85083213037 (Scopus);W3015868884 (OpenAlex)"
"Lean Manufacturing Production Method using the Change Management Approach to Reduce Backorders at SMEs in the Footwear Industry in Peru","Dextre-Del-Castillo D; Urruchi-Ortega S; Peñafiel-Carrera J; Raymundo-Ibañez C; Dominguez F","2020-01-01","10.1088/1757-899X/796/1/012021","Y","Publicaciones","Conferencia Publicada","Astronomia / física; Biotecnología; Ciências agrárias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); General engineering; General materials science; Interdisciplinar; Materiais; Materials science (all); Materials science (miscellaneous); Química","Iop Conference Series: Materials Science And Engineering","-","-","-","-","Q4","Dextre-Del-Castillo D; Urruchi-Ortega S; Peñafiel-Carrera J; Raymundo-Ibañez C; Dominguez F (2020). Lean Manufacturing Production Method using the Change Management Approach to Reduce Backorders at SMEs in the Footwear Industry in Peru. : Institute of Physics Publishing","3016002449 (MAG);2-s2.0-85083217455 (Scopus);W3016002449 (OpenAlex)"
