"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Atauri Mezquida, David","2023-09-01","2243044-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2023-24_2243_2243044_david.atauri (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Atauri Mezquida, David","2023-09-01","2033039-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2033_2033039_david.atauri (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Atauri Mezquida, David","2023-09-01","2269061-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2023-24_2269_2269061_david.atauri (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Atauri Mezquida, David","2023-09-01","2073061-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2023-24_2073_2073061_david.atauri (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Atauri Mezquida, David","2023-09-01","2059026-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2023-24_2059_2059026_david.atauri (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Atauri Mezquida, David","2023-09-01","2059039-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2059_2059039_david.atauri (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Atauri Mezquida, David","2023-09-01","2265039-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2023-24_2265_2265039_david.atauri (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Atauri Mezquida, David","2023-09-01","2114048-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2023). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2114_2114048_david.atauri (Universidad Rey Juan Carlos)"
"CEF TELECOM","Vizcaíno Pérez, José Ricardo (Investigador principal (IP)); Montes Vozmediano, Manuel Javier (Investigador/a); Atauri Mezquida, David (Investigador/a); Nicolás Ojeda, Miguel Ángel (Investigador/a); García Camús, Juan Manuel (Investigador/a); Martínez Pastor, Esther (Investigador principal (IP)); Simón de Blas, Clara (Investigador/a); Beltrán Orenes, María Pilar (Investigador/a); Blanco Ruiz, María Ángeles (Investigador/a); García Jiménez, Antonio (Investigador/a)","2021-01-01","-","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","CEF TELECOM. Vizcaíno Pérez, José Ricardo (Investigador principal (IP)); Montes Vozmediano, Manuel Javier (Investigador/a); Atauri Mezquida, David (Investigador/a); Nicolás Ojeda, Miguel Ángel (Investigador/a); García Camús, Juan Manuel (Investigador/a); Martínez Pastor, Esther (Investigador principal (IP)); Simón de Blas, Clara (Investigador/a); Beltrán Orenes, María Pilar (Investigador/a); Blanco Ruiz, María Ángeles (Investigador/a); García Jiménez, Antonio (Investigador/a).  Financiadora: European commision  (2021-01-01 / 2022-02-28)","F745 (Otros);F745 (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR Y MULTIMEDIA","Atauri Mezquida, David","2017-09-01","2176033-2176","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2017). INTERACCION PERSONA-ORDENADOR Y MULTIMEDIA. Universdiad Rey Juan Carlos","2017-18_2176_2176033_david.atauri (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Atauri Mezquida, David","2017-09-01","2052010-2052","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2017). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2017-18_2052_2052010_david.atauri (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Atauri Mezquida, David","2017-09-01","2053010-2053","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2017). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2017-18_2053_2053010_david.atauri (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR Y MULTIMEDIA","Atauri Mezquida, David","2017-09-01","2221038-2221","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2017). INTERACCION PERSONA-ORDENADOR Y MULTIMEDIA. Universdiad Rey Juan Carlos","2017-18_2221_2221038_david.atauri (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Atauri Mezquida, David","2017-09-01","2004017-2004","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2017). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2017-18_2004_2004017_david.atauri (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Atauri Mezquida, David","2016-09-01","2052010-2052","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2016). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2016-17_2052_2052010_david.atauri (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Atauri Mezquida, David","2016-09-01","2053010-2053","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2016). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2016-17_2053_2053010_david.atauri (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Atauri Mezquida, David","2016-09-01","2004017-2004","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2016). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2016-17_2004_2004017_david.atauri (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR Y MULTIMEDIA","Atauri Mezquida, David","2016-09-01","2176033-2176","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2016). INTERACCION PERSONA-ORDENADOR Y MULTIMEDIA. Universdiad Rey Juan Carlos","2016-17_2176_2176033_david.atauri (Universidad Rey Juan Carlos)"
